,Date,HomeTeam,AwayTeam,PredHomeGoals,PredAwayGoals,RealHomeGoals,RealAwayGoals,ErrorHomeGoals,ErrorAwayGoals
0,11/08/2023,Sp Braga,Famalicao,4,1,1,2,-3,1
1,12/08/2023,Gil Vicente,Portimonense,1,0,5,0,4,0
2,12/08/2023,Farense,Casa Pia,1,0,0,3,-1,3
3,12/08/2023,Sp Lisbon,Vizela,2,0,3,2,1,2
4,13/08/2023,Rio Ave,Chaves,1,1,2,0,1,-1
5,13/08/2023,Estrela,Guimaraes,1,0,0,1,-1,1
6,13/08/2023,Arouca,Estoril,1,0,4,3,3,3
7,14/08/2023,Moreirense,Porto,1,2,1,2,0,0
8,14/08/2023,Boavista,Benfica,1,2,3,2,2,0
9,18/08/2023,Casa Pia,Sp Lisbon,1,1,1,2,0,1
10,19/08/2023,Guimaraes,Gil Vicente,0,1,2,1,2,0
11,19/08/2023,Chaves,Sp Braga,0,2,2,4,2,2
12,19/08/2023,Benfica,Estrela,2,1,2,0,0,-1
13,19/08/2023,Portimonense,Boavista,0,4,1,4,1,0
14,20/08/2023,Estoril,Rio Ave,2,2,2,0,0,-2
15,20/08/2023,Porto,Farense,3,0,2,1,-1,1
16,20/08/2023,Vizela,Arouca,1,1,2,2,1,1
17,21/08/2023,Famalicao,Moreirense,2,1,0,0,-2,-1
18,25/08/2023,Estrela,Estoril,1,2,2,1,1,-1
19,26/08/2023,Arouca,Portimonense,4,0,1,1,-3,1
20,26/08/2023,Farense,Chaves,2,1,5,0,3,-1
21,26/08/2023,Gil Vicente,Benfica,1,1,2,3,1,2
22,27/08/2023,Boavista,Casa Pia,3,1,1,1,-2,0
23,27/08/2023,Guimaraes,Vizela,2,0,2,0,0,0
24,27/08/2023,Sp Lisbon,Famalicao,2,1,1,0,-1,-1
25,28/08/2023,Rio Ave,Porto,0,2,1,2,1,0
26,01/09/2023,Vizela,Gil Vicente,1,2,1,0,0,-2
27,02/09/2023,Casa Pia,Rio Ave,1,0,1,1,0,1
28,02/09/2023,Famalicao,Farense,1,1,1,0,0,-1
29,02/09/2023,Portimonense,Estrela,0,1,1,1,1,0
30,02/09/2023,Benfica,Guimaraes,1,1,4,0,3,-1
31,03/09/2023,Chaves,Moreirense,0,2,1,2,1,0
32,03/09/2023,Estoril,Boavista,2,2,1,2,-1,0
33,03/09/2023,Porto,Arouca,2,0,1,1,-1,1
34,03/09/2023,Sp Braga,Sp Lisbon,2,2,1,1,-1,-1
35,09/09/2023,Moreirense,Sp Braga,1,1,2,3,1,2
36,15/09/2023,Estrela,Porto,1,1,0,1,-1,0
37,16/09/2023,Rio Ave,Famalicao,0,0,1,1,1,1
38,16/09/2023,Farense,Sp Braga,2,1,3,1,1,0
39,16/09/2023,Vizela,Benfica,0,2,1,2,1,0
40,17/09/2023,Arouca,Casa Pia,1,1,0,1,-1,0
41,17/09/2023,Gil Vicente,Estoril,1,1,5,3,4,2
42,17/09/2023,Guimaraes,Portimonense,2,0,1,2,-1,2
43,17/09/2023,Sp Lisbon,Moreirense,2,0,3,0,1,0
44,18/09/2023,Boavista,Chaves,5,0,4,1,-1,1
45,22/09/2023,Famalicao,Arouca,1,0,1,0,0,0
46,23/09/2023,Estoril,Vizela,2,1,2,2,0,1
47,23/09/2023,Moreirense,Farense,1,2,1,0,0,-2
48,23/09/2023,Casa Pia,Guimaraes,1,0,0,0,-1,0
49,23/09/2023,Porto,Gil Vicente,2,1,2,1,0,0
50,24/09/2023,Chaves,Estrela,1,1,2,2,1,1
51,24/09/2023,Portimonense,Benfica,1,3,1,3,0,0
52,24/09/2023,Sp Braga,Boavista,2,2,4,1,2,-1
53,25/09/2023,Sp Lisbon,Rio Ave,2,0,2,0,0,0
54,28/09/2023,Estrela,Sp Braga,1,2,2,4,1,2
55,29/09/2023,Benfica,Porto,2,1,1,0,-1,-1
56,30/09/2023,Vizela,Portimonense,2,1,2,3,0,2
57,30/09/2023,Boavista,Famalicao,1,1,2,2,1,1
58,30/09/2023,Farense,Sp Lisbon,0,1,2,3,2,2
59,01/10/2023,Arouca,Chaves,2,0,0,2,-2,2
60,01/10/2023,Guimaraes,Estoril,1,1,3,2,2,1
61,01/10/2023,Rio Ave,Moreirense,1,1,0,4,-1,3
62,02/10/2023,Gil Vicente,Casa Pia,1,1,2,0,1,-1
63,06/10/2023,Moreirense,Boavista,3,1,1,1,-2,0
64,07/10/2023,Chaves,Gil Vicente,1,3,4,2,3,-1
65,07/10/2023,Farense,Vizela,2,1,0,0,-2,-1
66,07/10/2023,Sp Braga,Rio Ave,5,0,2,1,-3,1
67,07/10/2023,Estoril,Benfica,1,4,0,1,-1,-3
68,08/10/2023,Casa Pia,Estrela,1,1,0,1,-1,0
69,08/10/2023,Famalicao,Guimaraes,1,1,1,3,0,2
70,08/10/2023,Porto,Portimonense,2,0,1,0,-1,0
71,08/10/2023,Sp Lisbon,Arouca,3,0,2,1,-1,1
72,27/10/2023,Arouca,Moreirense,0,1,0,1,0,0
