,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.5189647372018003,0.6749851876215628,
1,Famalicao,1.4948820257487399,0.7403673331530144,1.15
2,Gil Vicente,0.9571284461725307,0.924524483304648,0.85
3,Guimaraes,1.2862876919130937,1.5026759050544407,1.0
4,Porto,1.8473977663624124,0.6124699787031267,1.15
5,Sp Braga,1.811622387562774,0.6563900873302494,1.0
6,Sp Lisbon,2.670225617517871,0.36426402227053645,1.15
7,Estoril,1.6504853697518291,1.4741538089247053,0.85
8,Arouca,1.3811759184870036,1.9068197373765792,1.0
9,Casa Pia,0.917154834370107,1.095734841006599,0.85
10,Estrela,0.3489940739288669,1.3086520997450681,0.85
11,Moreirense,1.4543673459058313,0.930606584166602,1.15
12,Nacional,0.8544953754371258,1.6096011113630693,0.85
13,Santa Clara,0.9124997055304211,1.1432584488498982,1.0
14,AVS,0.5100626703296391,2.188001234416583,0.85
15,Alverca,1.002936922386163,1.6034343145820824,0.85
16,Tondela,0.764912113225858,1.3078713374828455,1.0
