,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,2.059352809997752,0.3900730956298967,1.15
1,Famalicao,1.1198052194381478,0.6452341936457635,1.15
2,Gil Vicente,2.0260951477437352,0.39562355021804974,0.9375
3,Guimaraes,0.8408697741564602,1.4388316268739012,1.15
4,Porto,1.715505014405039,0.4604749988197716,0.85
5,Sp Braga,1.701312655921605,0.8053164152166001,1.0285714285714287
6,Sp Lisbon,1.8286301634021913,0.5491931761229616,1.1458333333333335
7,Estoril,1.162084223583865,1.1922258079644292,0.85
8,Arouca,0.8435824451110533,2.5930670590137,1.15
9,Casa Pia,0.9147030284274774,2.1004783768852207,0.85
10,Rio Ave,1.594298177854515,0.9691913584560017,1.0714285714285714
11,Estrela,0.9261727727651665,1.3311708097439345,1.15
12,Moreirense,1.4397792433753311,1.6349065667809786,1.15
13,Nacional,1.2701533893764732,1.13502870009856,1.15
14,Santa Clara,1.0484146039723843,1.0695136185474061,1.15
15,AVS,0.5476430164354552,2.2729167072804053,0.85
16,Alverca,1.1954580222509708,1.8487870441399141,0.85
17,Tondela,0.592645827874006,1.721239414890264,1.15
