,Team,LambdaAtt,LambdaDef,HomeFactor
0,Benfica,1.7342793046037037,0.8315617616648003,1.5
1,Boavista,1.012199831936618,1.4797064667321198,1.1666666666666667
2,Famalicao,1.0277688685969892,1.1244079471750612,1.3125
3,Gil Vicente,1.0197380159417395,1.201527038832963,1.5
4,Guimaraes,1.1902717076805904,1.025182723213975,1.476190476190476
5,Portimonense,0.9296371953565283,1.6140292575570194,0.8571428571428571
6,Porto,1.4929549756364242,0.8238238935471464,1.25
7,Sp Braga,1.56769393416516,1.1641003535681447,0.8684210526315789
8,Sp Lisbon,1.96717876861594,0.7961428859355947,1.4615384615384617
9,Vizela,0.9696335371356879,1.5417244448280027,1.25
10,Estoril,0.9866816219859522,1.3697816661360078,1.0416666666666667
11,Arouca,1.137246293446851,1.2008194078263013,0.9285714285714286
12,Casa Pia,0.9820040377253403,1.2610807633888643,0.8
13,Rio Ave,1.053688686879354,1.0575271646643922,1.5
14,Chaves,0.820599662825994,1.5155401978017105,1.5
15,Estrela,0.9321362823308925,1.272418311619075,1.5
16,Farense,1.1025529936199248,1.2380671882035728,1.0909090909090908
17,Moreirense,0.9700359136816178,0.9429796152319159,1.25
