,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,P1,08/08/2025,20:15,Casa Pia,Sp Lisbon,0,2,A,0,1,A,7,27,2,12,14,11,2,9,4,1,0,0
1,P1,09/08/2025,15:30,Nacional,Gil Vicente,0,2,A,0,2,A,15,12,4,2,21,16,14,6,3,6,0,0
2,P1,09/08/2025,20:30,Arouca,AVS,3,1,H,1,0,H,9,15,4,2,13,17,4,5,2,0,0,0
3,P1,10/08/2025,17:00,Famalicao,Santa Clara,3,0,H,2,0,H,6,8,3,2,20,15,2,3,4,2,0,0
4,P1,10/08/2025,20:30,Moreirense,Alverca,2,1,H,1,1,D,10,7,3,2,15,5,6,2,3,1,0,0
5,P1,10/08/2025,20:30,Sp Braga,Tondela,3,0,H,2,0,H,8,7,6,3,10,9,5,3,1,3,0,0
6,P1,11/08/2025,18:45,Estoril,Estrela,1,1,D,1,0,H,8,9,3,5,13,16,4,4,4,1,0,0
7,P1,11/08/2025,20:45,Porto,Guimaraes,3,0,H,2,0,H,17,10,9,2,18,9,7,4,1,3,0,0
8,P1,15/08/2025,15:30,AVS,Casa Pia,0,2,A,0,1,A,10,10,3,5,20,20,1,3,4,5,0,0
9,P1,16/08/2025,15:30,Tondela,Famalicao,0,1,A,0,0,D,15,14,4,5,17,19,2,7,0,1,0,0
10,P1,16/08/2025,18:00,Guimaraes,Estoril,3,2,H,1,1,D,16,11,4,5,18,17,4,2,4,3,0,0
11,P1,16/08/2025,20:30,Estrela,Benfica,0,1,A,0,0,D,15,14,2,3,14,23,5,4,3,3,0,0
12,P1,17/08/2025,15:30,Rio Ave,Nacional,1,1,D,1,0,H,20,13,9,6,16,18,6,6,2,4,0,1
13,P1,17/08/2025,18:00,Alverca,Sp Braga,0,3,A,0,3,A,12,12,3,6,15,6,1,5,2,1,0,0
14,P1,17/08/2025,18:00,Santa Clara,Moreirense,0,1,A,0,1,A,12,6,3,2,20,18,3,0,4,5,0,0
15,P1,17/08/2025,20:30,Sp Lisbon,Arouca,6,0,H,3,0,H,19,7,10,1,7,7,6,1,1,0,0,1
16,P1,18/08/2025,20:15,Gil Vicente,Porto,0,2,A,0,1,A,14,15,2,4,9,20,1,5,2,4,0,0
